/135,"29,177","19,881",00:00:58,"11,847",30.62%,20.88%,$0.00
/,"27,358","18,787",00:00:43,"13,631",27.19%,22.02%,$0.00
/notice/15,"19,417","12,342",00:00:49,"5,663",34.71%,17.47%,$0.00
/215,"16,343","14,363",00:07:11,"12,965",81.49%,78.34%,$0.00
/38,"12,362","11,000",00:06:17,"9,444",79.24%,75.30%,$0.00
/5,"12,257","8,649",00:03:55,"2,745",50.23%,31.91%,$0.00
/223,"11,296","9,903",00:05:27,"8,093",76.71%,69.17%,$0.00
/231,"11,085","7,699",00:00:59,"4,712",24.96%,17.51%,$0.00
/130,"11,077","8,002",00:01:00,"6,988",30.44%,27.89%,$0.00
/134,"9,255","7,403",00:01:50,"2,161",32.27%,19.72%,$0.00
/187,"8,287","7,078",00:01:52,"4,551",71.22%,54.28%,$0.00
/10,"8,019","6,990",00:05:29,"4,220",80.69%,62.26%,$0.00
/7,"8,010","6,475",00:06:10,"2,287",64.89%,42.93%,$0.00
/77,"7,646","7,094",00:05:09,"6,582",87.55%,84.36%,$0.00
/136,"7,327","5,782",00:03:55,"1,118",50.09%,25.22%,$0.00
/188,"6,911","5,740",00:04:18,"2,097",61.99%,43.42%,$0.00
/14,"6,885","5,831",00:03:37,"4,468",76.17%,61.10%,$0.00
/6,"6,773","5,377",00:03:37,"1,104",50.46%,24.38%,$0.00
/141,"6,758","5,570",00:06:14,"1,774",57.38%,42.08%,$0.00
/224,"6,352","5,463",00:05:30,"4,289",80.45%,71.44%,$0.00
/8,"6,337","5,264",00:05:38,"2,014",66.24%,46.00%,$0.00
/169,"6,328","5,067",00:04:23,"1,631",53.45%,36.39%,$0.00
/66,"6,241","5,778",00:06:24,"5,386",88.14%,85.87%,$0.00
/210,"6,239","5,575",00:06:11,"4,231",78.40%,67.93%,$0.00
/9,"6,137","4,951",00:05:31,"2,172",69.22%,43.62%,$0.00
/220,"6,076","4,949",00:03:00,"3,583",75.51%,56.45%,$0.00
/196,"6,001","5,399",00:05:12,"4,818",85.70%,78.69%,$0.00
/213,"5,900","5,083",00:04:40,"3,760",69.97%,60.19%,$0.00
/45,"5,885","5,285",00:04:50,"4,677",79.57%,74.75%,$0.00
/21,"5,873","4,994",00:03:46,954,56.22%,28.20%,$0.00
/173,"5,758","4,688",00:04:59,"1,560",61.31%,41.52%,$0.00
/29,"5,723","5,182",00:05:32,"3,751",81.50%,67.15%,$0.00
/138,"5,718","4,557",00:04:16,961,50.10%,26.29%,$0.00
/23,"5,663","4,792",00:06:28,"1,774",61.73%,45.72%,$0.00
/12,"5,580","4,529",00:06:22,"1,900",70.10%,56.08%,$0.00
/172,"5,547","4,631",00:05:13,"1,760",60.48%,40.27%,$0.00
/235,"5,120","4,572",00:05:39,"4,124",83.66%,80.10%,$0.00
/198,"4,749","4,058",00:04:46,"2,008",71.14%,53.84%,$0.00
/225,"4,632","4,167",00:04:23,"3,034",75.84%,65.87%,$0.00
/64,"4,618","4,298",00:06:34,"3,731",84.93%,80.88%,$0.00
/68,"4,509","4,056",00:07:04,"3,491",82.44%,77.69%,$0.00
/129,"4,499","3,989",00:04:24,"2,984",82.96%,67.79%,$0.00
/202,"4,427","3,946",00:04:38,"2,490",81.52%,63.50%,$0.00
/58,"4,407","4,090",00:05:45,"3,555",80.16%,75.97%,$0.00
/19,"4,373","3,746",00:01:48,741,58.60%,17.49%,$0.00
/18,"4,300","3,700",00:06:23,"1,471",69.00%,52.53%,$0.00
/197,"4,218","3,547",00:04:54,"1,280",63.11%,44.36%,$0.00
/32,"4,205","3,669",00:05:40,"2,083",73.35%,56.48%,$0.00
/33,"4,122","3,667",00:06:05,"1,938",71.17%,55.70%,$0.00
/44,"3,961","3,400",00:04:11,"2,909",73.64%,68.49%,$0.00
/36,"3,936","3,451",00:03:00,"2,608",77.37%,62.63%,$0.00
/189,"3,873","3,412",00:05:40,"2,854",79.87%,72.94%,$0.00
/24,"3,823","3,143",00:07:05,"1,025",58.18%,43.71%,$0.00
/98,"3,787","3,307",00:05:14,"1,848",79.91%,58.04%,$0.00
/99,"3,717","3,467",00:05:17,"2,870",87.90%,77.94%,$0.00
/25,"3,524","2,988",00:05:45,"1,237",64.58%,49.77%,$0.00
/67,"3,402","3,115",00:08:25,"2,801",84.78%,83.72%,$0.00
/241,"3,396","2,915",00:05:29,"2,420",76.07%,71.14%,$0.00
/184,"3,393","2,641",00:00:33,501,33.27%,11.76%,$0.00
/89,"3,368","3,142",00:05:57,"2,528",84.30%,75.65%,$0.00
/219,"3,348","2,890",00:04:55,"1,371",70.96%,54.24%,$0.00
/16,"3,239","2,639",00:05:09,965,67.98%,39.89%,$0.00
/69,"3,181","2,947",00:06:26,"2,475",83.08%,78.40%,$0.00
/17,"3,060","2,687",00:05:40,"1,029",72.71%,47.22%,$0.00
/211,"3,020","2,664",00:05:09,"1,712",72.09%,59.40%,$0.00
/26,"2,978","2,644",00:04:55,"1,113",66.34%,48.76%,$0.00
/35,"2,969","2,661",00:02:41,"1,910",80.88%,62.58%,$0.00
/217,"2,919","2,535",00:02:57,"1,283",72.84%,50.43%,$0.00
/131,"2,889","2,733",00:06:45,"2,490",88.97%,86.47%,$0.00
/76,"2,846","2,047",00:02:03,"1,717",70.36%,51.97%,$0.00
/55,"2,809","2,431",00:05:09,"1,139",73.87%,52.87%,$0.00
/87,"2,800","2,462",00:04:48,"1,551",80.35%,58.04%,$0.00
/100,"2,715","2,305",00:04:10,"1,537",80.42%,60.96%,$0.00
/113,"2,714","2,375",00:04:19,"2,013",79.19%,72.55%,$0.00
/221,"2,533","2,212",00:04:23,"1,312",67.91%,51.24%,$0.00
/106,"2,441","2,279",00:04:57,"1,925",86.51%,79.35%,$0.00
/34,"2,417","2,112",00:02:02,"1,343",78.52%,54.65%,$0.00
/209,"2,414","2,015",00:05:06,760,67.10%,46.15%,$0.00
/104,"2,400","2,222",00:04:48,"1,888",82.80%,77.25%,$0.00
/40,"2,382","2,082",00:04:31,"1,480",70.27%,60.96%,$0.00
/142?category=391402,"2,302","2,226",00:07:05,"2,210",96.24%,95.79%,$0.00
/65,"2,288","2,069",00:06:00,"1,602",80.85%,73.78%,$0.00
/60,"2,285","1,982",00:05:36,"1,158",76.38%,58.73%,$0.00
/27,"2,269","1,874",00:05:30,751,65.11%,45.61%,$0.00
/228,"2,252","1,941",00:04:26,"1,306",68.04%,56.08%,$0.00
/20,"2,250","1,982",00:05:18,716,63.61%,40.40%,$0.00
/123,"2,247","1,972",00:04:38,"1,296",75.87%,60.04%,$0.00
/195,"2,239","1,781",00:01:41,772,70.91%,36.27%,$0.00
/93,"2,116","1,879",00:05:21,"1,550",82.20%,74.05%,$0.00
/251,"2,094","1,407",00:01:58,185,39.66%,18.86%,$0.00
/114,"2,066","1,823",00:03:46,"1,429",80.43%,69.36%,$0.00
/230,"2,065","1,842",00:04:22,"1,259",84.41%,65.86%,$0.00
/117,"2,064","1,756",00:06:04,977,72.02%,55.86%,$0.00
/48,"2,027","1,853",00:04:26,"1,544",81.74%,74.94%,$0.00
/102,"2,002","1,784",00:05:51,"1,472",83.44%,74.88%,$0.00
/203,"1,970","1,689",00:04:22,663,63.08%,42.13%,$0.00
/245,"1,956","1,604",00:01:27,281,45.52%,22.65%,$0.00
/80,"1,941","1,763",00:05:03,"1,361",82.82%,73.26%,$0.00
/227,"1,922","1,605",00:05:20,874,63.75%,49.69%,$0.00
/28,"1,920","1,600",00:05:01,665,64.41%,46.20%,$0.00
/101,"1,873","1,699",00:04:10,"1,258",83.94%,68.82%,$0.00
/37,"1,809","1,513",00:03:23,938,69.97%,53.73%,$0.00
/90,"1,806","1,665",00:04:55,"1,394",84.58%,78.90%,$0.00
/253,"1,770","1,542",00:04:17,499,54.80%,32.54%,$0.00
/84,"1,741","1,637",00:04:03,"1,426",88.93%,82.42%,$0.00
/71,"1,680","1,487",00:05:22,789,80.77%,57.14%,$0.00
/204,"1,667","1,513",00:04:17,672,77.27%,52.61%,$0.00
/85,"1,615","1,480",00:04:22,"1,122",85.64%,73.19%,$0.00
/43,"1,558","1,345",00:04:03,671,67.07%,47.88%,$0.00
/121,"1,470","1,311",00:02:37,"1,077",78.18%,68.71%,$0.00
/103,"1,452","1,329",00:05:39,735,79.46%,57.85%,$0.00
/186,"1,424","1,308",00:04:37,"1,145",84.72%,78.72%,$0.00
/108,"1,414","1,060",00:01:20,731,68.49%,48.30%,$0.00
/83,"1,414","1,168",00:04:46,478,67.65%,41.51%,$0.00
/79,"1,405","1,270",00:04:20,862,81.92%,65.34%,$0.00
/120,"1,332","1,143",00:04:38,892,77.13%,66.59%,$0.00
/41,"1,326","1,136",00:02:49,781,75.16%,57.99%,$0.00
/229,"1,321","1,058",00:04:09,415,61.32%,39.82%,$0.00
/30,"1,317","1,112",00:03:01,451,58.85%,34.93%,$0.00
/51,"1,317","1,218",00:06:01,931,82.28%,72.44%,$0.00
/222,"1,311","1,105",00:03:39,458,62.88%,41.50%,$0.00
/246,"1,309","1,102",00:02:20,160,62.03%,25.36%,$0.00
/247,"1,288","1,043",00:03:12,337,75.74%,42.31%,$0.00
/236,"1,268","1,147",00:04:15,906,79.80%,72.63%,$0.00
/183,"1,266","1,167",00:04:45,"1,045",86.32%,79.94%,$0.00
/250,"1,209","1,090",00:05:16,898,81.96%,74.94%,$0.00
/240,"1,173","1,036",00:05:16,835,79.67%,73.49%,$0.00
/31,"1,169","1,059",00:03:26,281,62.63%,30.45%,$0.00
/143,"1,142",972,00:02:22,390,76.09%,42.03%,$0.00
/214,"1,132",959,00:02:17,261,64.62%,28.09%,$0.00
/57,"1,124","1,039",00:04:01,844,87.47%,78.02%,$0.00
/75,"1,123","1,052",00:05:03,865,81.52%,76.22%,$0.00
/78,"1,102",985,00:04:41,758,80.63%,71.51%,$0.00
/149,"1,096","1,000",00:04:55,734,77.52%,70.53%,$0.00
/72,"1,095",973,00:04:11,689,78.63%,65.57%,$0.00
/254,"1,094",932,00:03:45,483,74.85%,51.19%,$0.00
/53,"1,064",989,00:04:12,887,88.96%,83.36%,$0.00
/248,"1,002",862,00:02:18,211,74.88%,37.33%,$0.00
/59,997,904,00:05:53,825,87.29%,82.15%,$0.00
/88,985,863,00:05:07,303,68.20%,44.57%,$0.00
/109,981,851,00:04:08,598,79.10%,63.51%,$0.00
/252,969,816,00:03:29,265,60.45%,39.42%,$0.00
/175,927,747,00:02:56,247,67.21%,39.27%,$0.00
/125,922,817,00:02:33,398,70.43%,48.81%,$0.00
/218,920,822,00:02:26,367,63.93%,40.11%,$0.00
/122,902,806,00:05:51,699,82.31%,77.16%,$0.00
/174,873,692,00:01:49,461,57.92%,42.38%,$0.00
/39,859,741,00:04:06,438,71.69%,54.02%,$0.00
/111,849,721,00:03:31,550,79.71%,66.43%,$0.00
/191,845,767,00:05:18,593,79.93%,71.48%,$0.00
/74,816,746,00:05:16,566,77.03%,68.26%,$0.00
/112,788,671,00:04:07,499,76.35%,63.32%,$0.00
/269,770,666,00:05:22,351,76.70%,55.32%,$0.00
/110,767,646,00:02:44,466,82.83%,63.75%,$0.00
/118,766,679,00:03:54,541,81.33%,69.84%,$0.00
/135?napp=mysection&subtab_h=24,744,510,00:09:31,509,67.98%,68.15%,$0.00
/47,729,652,00:03:37,483,79.25%,66.80%,$0.00
/81,716,628,00:03:53,369,76.01%,55.31%,$0.00
/124,697,640,00:04:15,525,86.29%,74.89%,$0.00
/185,687,633,00:02:39,524,85.88%,74.24%,$0.00
/151,683,518,00:02:18,260,71.81%,43.63%,$0.00
/255,668,583,00:02:05,224,73.21%,38.92%,$0.00
/238,639,550,00:04:51,430,77.26%,70.74%,$0.00
/96,612,557,00:04:07,415,79.52%,68.14%,$0.00
/142,601,581,00:03:42,576,91.84%,91.51%,$0.00
/62,594,536,00:05:25,465,85.38%,79.63%,$0.00
/243,583,508,00:03:55,260,81.47%,49.57%,$0.00
/177,582,525,00:02:10,300,81.00%,54.81%,$0.00
/270,568,448,00:05:12,212,66.98%,47.54%,$0.00
/46,550,459,00:02:12,267,70.41%,48.36%,$0.00
/271,538,436,00:03:31,148,62.91%,40.89%,$0.00
/119,531,460,00:03:38,329,78.12%,63.09%,$0.00
/237,522,464,00:01:56,262,79.77%,51.15%,$0.00
/233,518,433,00:01:26,81,45.68%,22.78%,$0.00
/54,518,488,00:02:53,336,85.07%,70.08%,$0.00
/5?category=194983,508,44,00:00:15,44,40.91%,4.33%,$0.00
/61,497,440,00:04:21,350,81.14%,68.81%,$0.00
/146,472,393,00:02:02,97,56.70%,32.20%,$0.00
/92,463,395,00:02:57,243,75.72%,57.67%,$0.00
/234,458,342,00:02:08,127,75.59%,37.34%,$0.00
/193,457,413,00:05:05,358,81.84%,75.27%,$0.00
/94,445,390,00:02:42,240,72.08%,54.16%,$0.00
/82,431,389,00:03:53,268,80.22%,61.95%,$0.00
/249,417,360,00:02:51,216,69.44%,48.20%,$0.00
/262,404,337,00:02:16,224,81.25%,54.70%,$0.00
/95,396,345,00:03:45,202,72.28%,53.79%,$0.00
/97,389,338,00:02:05,196,80.10%,54.76%,$0.00
/144,385,308,00:01:34,147,65.31%,36.10%,$0.00
/49,381,332,00:03:40,264,82.20%,67.98%,$0.00
/176,368,321,00:01:45,148,71.62%,46.47%,$0.00
/256,356,271,00:02:13,45,60.00%,33.99%,$0.00
/147,343,310,00:04:04,216,73.15%,62.10%,$0.00
/139,337,295,00:03:12,188,94.15%,65.28%,$0.00
/140,328,292,00:04:17,231,89.22%,72.56%,$0.00
/105,317,288,00:02:54,224,83.93%,69.40%,$0.00
/244,312,292,00:02:06,192,86.53%,63.14%,$0.00
/178,310,298,00:05:19,276,92.03%,90.65%,$0.00
/222?category=361027,307,273,00:03:55,102,33.67%,26.38%,$0.00
/261,307,269,00:02:15,151,71.71%,51.79%,$0.00
/274,294,229,00:02:29,69,60.29%,35.71%,$0.00
/52,277,240,00:02:21,106,74.53%,46.57%,$0.00
/135?category=361027,270,141,00:00:35,138,32.61%,18.89%,$0.00
/167,260,249,00:04:27,185,80.54%,71.15%,$0.00
/116,235,201,00:02:11,89,65.17%,40.00%,$0.00
/263,229,211,00:02:41,167,79.04%,68.12%,$0.00
/15,227,163,00:01:02,123,20.33%,15.42%,$0.00
/190,212,200,00:02:37,182,89.01%,82.08%,$0.00
/239,212,167,00:01:33,33,60.61%,28.30%,$0.00
/132,206,182,00:03:03,129,87.60%,67.96%,$0.00
/260,204,180,00:03:15,86,79.07%,50.98%,$0.00
/194,202,179,00:03:25,124,75.00%,63.37%,$0.00
/182,199,177,00:04:57,141,75.71%,70.35%,$0.00
/165,187,161,00:04:36,125,70.16%,64.17%,$0.00
/155,186,162,00:02:35,124,72.58%,61.83%,$0.00
/192,178,152,00:02:29,123,82.26%,69.66%,$0.00
/145,167,143,00:01:28,25,43.48%,17.96%,$0.00
/242,167,126,00:01:08,37,70.27%,26.35%,$0.00
/267,151,137,00:02:07,92,81.52%,57.62%,$0.00
/154,143,119,00:03:52,81,76.54%,64.34%,$0.00
/164,137,120,00:01:30,78,74.36%,56.93%,$0.00
/181,134,124,00:02:09,103,88.35%,80.60%,$0.00
/6?category=194983,133,11,00:00:02,11,54.55%,5.26%,$0.00
/73,130,114,00:04:16,46,58.70%,36.92%,$0.00
/158,126,110,00:03:27,94,82.98%,73.02%,$0.00
/268,124,116,00:01:11,41,80.49%,45.16%,$0.00
/157,123,118,00:03:07,84,80.95%,69.92%,$0.00
/257,122,110,00:01:14,20,50.00%,20.49%,$0.00
/70,120,107,00:03:17,45,80.00%,43.33%,$0.00
/86,113,99,00:01:23,20,60.00%,17.70%,$0.00
/266,108,91,00:02:19,48,71.43%,48.15%,$0.00
/199,105,91,00:01:13,86,81.40%,77.14%,$0.00
/91,103,94,00:01:03,29,75.86%,39.81%,$0.00
/135,95,49,00:00:52,48,12.50%,10.53%,$0.00
/156,94,83,00:03:57,65,73.85%,61.70%,$0.00
/?page=2,79,66,00:00:26,14,46.15%,11.39%,$0.00
/171,78,68,00:01:23,51,82.35%,70.51%,$0.00
/208,78,67,00:01:06,60,75.00%,71.79%,$0.00
/23?category=194983,77,3,00:00:01,3,66.67%,3.90%,$0.00
/265,76,69,00:02:57,18,100.00%,39.47%,$0.00
/180,74,67,00:03:09,36,83.33%,58.11%,$0.00
/150,73,62,00:01:54,31,83.87%,56.16%,$0.00
/152,72,61,00:03:21,33,72.73%,51.39%,$0.00
/notify-one_deny?aHR0cHM6Ly9tb2Rvb2NvZGUuY29tLzIzMQ==;sVK3VfEKrJ4/O1bp+4UhJ9vztRb+/QfVofgqWieV4r0=,72,3,00:00:01,0,0.00%,0.00%,$0.00
/12?category=194983,68,58,00:02:30,29,3.45%,38.24%,$0.00
/14?category=194983,68,68,00:00:14,68,98.53%,98.53%,$0.00
/272,65,62,00:00:48,17,88.24%,46.15%,$0.00
/50,60,55,00:01:54,18,55.56%,33.33%,$0.00
/103?category=194983,57,49,00:03:03,49,61.22%,57.89%,$0.00
/153,54,47,00:00:29,18,88.89%,42.59%,$0.00
/201,54,51,00:00:28,31,21.82%,44.44%,$0.00
/258,54,47,00:02:00,7,57.14%,20.37%,$0.00
/275,54,48,00:02:45,32,84.38%,62.96%,$0.00
/280,50,43,00:00:21,9,33.33%,28.00%,$0.00
